person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_to_income_ratio,residual_income_after_loan,employment_tenure_band,risk_level
24,15000,RENT,8.0,DEBTCONSOLIDATION,C,4200,13.11,1,0.28,Y,2,0.28,10800,MID,MEDIUM
24,16000,RENT,2.0,DEBTCONSOLIDATION,D,4200,10.99,1,0.26,N,4,0.2625,11800,EARLY,LOW
21,19000,RENT,2.0,HOMEIMPROVEMENT,C,4200,10.99,1,0.22,Y,2,0.2211,14800,EARLY,MEDIUM
23,21000,RENT,3.0,EDUCATION,A,4200,10.99,0,0.2,N,3,0.2,16800,EARLY,LOW
24,40000,MORTGAGE,6.0,VENTURE,B,10000,9.91,0,0.25,N,3,0.25,30000,MID,LOW
23,21600,RENT,0.0,PERSONAL,C,4200,15.23,0,0.19,N,4,0.1944,17400,NEW,MEDIUM
22,22560,RENT,3.0,PERSONAL,D,4200,15.2,1,0.19,Y,4,0.1862,18360,EARLY,MEDIUM
23,40000,MORTGAGE,7.0,MEDICAL,A,4000,7.51,0,0.1,N,2,0.1,36000,MID,LOW
23,23520,RENT,8.0,MEDICAL,A,4200,10.99,0,0.18,N,3,0.1786,19320,MID,LOW
25,24996,RENT,1.0,PERSONAL,C,4200,14.26,0,0.17,Y,2,0.168,20796,NEW,HIGH
24,26000,RENT,0.0,PERSONAL,E,4200,16.0,1,0.16,N,2,0.1615,21800,NEW,HIGH
22,28080,RENT,4.0,MEDICAL,B,4200,9.91,1,0.15,N,4,0.1496,23880,EARLY,LOW
25,40000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,8000,10.99,0,0.2,N,4,0.2,32000,MID,LOW
26,29000,RENT,10.0,DEBTCONSOLIDATION,B,4200,10.99,0,0.14,N,3,0.1448,24800,LONG,LOW
26,30000,RENT,3.0,PERSONAL,B,4200,9.91,0,0.14,N,4,0.14,25800,EARLY,LOW
26,30000,RENT,1.0,EDUCATION,D,4200,16.49,1,0.14,N,3,0.14,25800,NEW,MEDIUM
25,30000,RENT,3.0,MEDICAL,D,4200,15.99,0,0.14,N,3,0.14,25800,EARLY,LOW
25,12000,RENT,3.0,DEBTCONSOLIDATION,C,4350,12.98,1,0.36,Y,4,0.3625,7650,EARLY,HIGH
23,40000,OWN,4.0,VENTURE,A,2000,10.99,0,0.05,N,4,0.05,38000,EARLY,LOW
22,22000,RENT,6.0,MEDICAL,C,4350,11.54,0,0.2,N,3,0.1977,17650,MID,LOW
23,40000,OWN,4.0,VENTURE,A,7500,5.42,0,0.19,N,2,0.1875,32500,EARLY,LOW
22,30000,RENT,4.0,EDUCATION,A,4350,6.03,0,0.14,N,4,0.145,25650,EARLY,LOW
23,40000,OWN,7.0,MEDICAL,A,5000,8.49,0,0.13,N,4,0.125,35000,MID,LOW
23,40000,MORTGAGE,3.0,VENTURE,B,4000,9.99,0,0.1,N,4,0.1,36000,EARLY,LOW
26,40000,MORTGAGE,3.0,MEDICAL,A,2200,8.49,0,0.06,N,3,0.055,37800,EARLY,LOW
25,40000,MORTGAGE,0.0,MEDICAL,A,3600,7.49,0,0.09,N,3,0.09,36400,NEW,LOW
24,14400,RENT,0.0,DEBTCONSOLIDATION,B,4375,10.99,1,0.3,N,2,0.3038,10025,NEW,MEDIUM
23,40000,MORTGAGE,7.0,PERSONAL,B,4000,10.99,0,0.1,N,4,0.1,36000,MID,LOW
26,40000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,6000,11.99,0,0.15,N,2,0.15,34000,MID,LOW
26,15000,RENT,0.0,DEBTCONSOLIDATION,B,4375,12.69,1,0.29,N,4,0.2917,10625,NEW,LOW
24,16800,RENT,4.0,DEBTCONSOLIDATION,B,4375,9.99,1,0.26,N,2,0.2604,12425,EARLY,LOW
24,22044,RENT,3.0,HOMEIMPROVEMENT,E,4375,16.4,1,0.2,Y,3,0.1985,17669,EARLY,HIGH
26,24480,RENT,0.0,MEDICAL,A,4375,5.79,0,0.18,N,4,0.1787,20105,NEW,LOW
23,50000,RENT,5.0,DEBTCONSOLIDATION,A,4375,8.49,0,0.09,N,2,0.0875,45625,MID,LOW
22,14400,RENT,0.0,HOMEIMPROVEMENT,E,4400,19.91,1,0.31,N,4,0.3056,10000,NEW,MEDIUM
22,19200,RENT,6.0,PERSONAL,B,4400,11.49,1,0.23,N,2,0.2292,14800,MID,LOW
21,20000,RENT,3.0,PERSONAL,A,4400,6.91,0,0.22,N,4,0.22,15600,EARLY,LOW
24,25000,RENT,0.0,DEBTCONSOLIDATION,A,4400,6.76,0,0.18,N,3,0.176,20600,NEW,LOW
21,40000,MORTGAGE,5.0,EDUCATION,C,2000,12.99,0,0.05,Y,4,0.05,38000,MID,MEDIUM
22,32496,RENT,5.0,PERSONAL,A,4400,8.49,0,0.14,N,4,0.1354,28096,MID,LOW
23,40000,MORTGAGE,3.0,MEDICAL,A,5000,5.42,0,0.13,N,3,0.125,35000,EARLY,LOW
23,40000,MORTGAGE,7.0,EDUCATION,C,6000,14.79,0,0.15,N,2,0.15,34000,MID,LOW
26,40000,MORTGAGE,5.0,EDUCATION,A,7200,7.49,0,0.18,N,2,0.18,32800,MID,LOW
22,34000,MORTGAGE,6.0,VENTURE,D,15000,15.99,1,0.44,Y,2,0.4412,19000,MID,HIGH
23,38000,RENT,5.0,VENTURE,B,4400,11.71,0,0.12,N,2,0.1158,33600,MID,LOW
23,43000,RENT,7.0,MEDICAL,B,4400,11.99,1,0.1,N,4,0.1023,38600,MID,LOW
22,40000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,5000,12.99,0,0.13,Y,2,0.125,35000,MID,MEDIUM
24,49000,RENT,8.0,DEBTCONSOLIDATION,D,4400,16.77,1,0.09,Y,3,0.0898,44600,MID,MEDIUM
22,60000,RENT,0.0,EDUCATION,C,4400,15.23,0,0.07,Y,3,0.0733,55600,NEW,HIGH
24,72000,RENT,6.0,PERSONAL,A,4400,10.99,0,0.06,N,4,0.0611,67600,MID,LOW
24,80000,RENT,7.0,EDUCATION,E,4400,19.03,0,0.06,Y,2,0.055,75600,MID,HIGH
23,40000,MORTGAGE,7.0,VENTURE,B,13000,9.99,0,0.33,N,3,0.325,27000,MID,LOW
26,95459,RENT,10.0,DEBTCONSOLIDATION,C,4400,13.8,0,0.05,N,4,0.0461,91059,LONG,LOW
24,33600,RENT,5.0,PERSONAL,B,4450,11.49,0,0.13,N,4,0.1324,29150,MID,LOW
24,42200,RENT,5.0,DEBTCONSOLIDATION,A,4450,9.32,0,0.11,N,4,0.1055,37750,MID,LOW
22,40000,MORTGAGE,5.0,PERSONAL,A,5400,7.42,0,0.14,N,2,0.135,34600,MID,LOW
22,40000,MORTGAGE,7.0,EDUCATION,A,14000,7.49,0,0.35,N,3,0.35,26000,MID,LOW
22,14400,RENT,0.0,EDUCATION,A,4500,7.88,1,0.31,N,4,0.3125,9900,NEW,LOW
25,40000,MORTGAGE,2.0,PERSONAL,B,4500,10.99,0,0.11,N,3,0.1125,35500,EARLY,LOW
25,40000,MORTGAGE,9.0,DEBTCONSOLIDATION,C,3500,13.49,0,0.09,N,3,0.0875,36500,MID,LOW
24,40000,MORTGAGE,3.0,VENTURE,B,3200,10.99,0,0.08,N,2,0.08,36800,EARLY,LOW
23,15600,RENT,1.0,VENTURE,A,4500,5.99,1,0.29,N,4,0.2885,11100,NEW,LOW
25,15600,RENT,3.0,PERSONAL,A,4500,7.51,1,0.29,N,3,0.2885,11100,EARLY,LOW
22,40000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,7500,11.49,0,0.19,N,3,0.1875,32500,EARLY,LOW
24,40000,OWN,6.0,EDUCATION,A,2800,8.49,0,0.07,N,4,0.07,37200,MID,LOW
25,17600,RENT,4.0,PERSONAL,C,4500,13.99,1,0.26,N,2,0.2557,13100,EARLY,LOW
25,40000,OWN,0.0,MEDICAL,A,11000,8.49,0,0.28,N,2,0.275,29000,NEW,MEDIUM
23,18000,RENT,4.0,VENTURE,A,4500,7.49,1,0.25,N,4,0.25,13500,EARLY,LOW
24,40000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,15000,7.49,0,0.38,N,2,0.375,25000,MID,MEDIUM
24,40000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,3000,11.99,0,0.07,N,4,0.075,37000,MID,LOW
23,40000,MORTGAGE,6.0,MEDICAL,B,13200,10.99,0,0.33,N,4,0.33,26800,MID,LOW
23,40000,MORTGAGE,2.0,MEDICAL,B,2000,10.99,0,0.05,N,4,0.05,38000,EARLY,LOW
21,18000,RENT,2.0,PERSONAL,B,4500,10.38,1,0.25,N,2,0.25,13500,EARLY,LOW
24,40000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,2500,9.99,0,0.06,N,2,0.0625,37500,EARLY,LOW
23,18000,RENT,0.0,DEBTCONSOLIDATION,B,4500,12.21,1,0.25,N,3,0.25,13500,NEW,LOW
24,18200,RENT,8.0,EDUCATION,A,4500,8.94,1,0.25,N,2,0.2473,13700,MID,LOW
24,40000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,10000,5.79,0,0.25,N,4,0.25,30000,MID,LOW
25,18204,RENT,0.0,EDUCATION,C,4500,13.61,1,0.25,N,2,0.2472,13704,NEW,MEDIUM
26,40000,OWN,0.0,MEDICAL,B,4300,10.74,0,0.11,N,2,0.1075,35700,NEW,MEDIUM
21,20000,RENT,5.0,PERSONAL,C,4500,13.49,0,0.23,N,2,0.225,15500,MID,LOW
24,40000,MORTGAGE,9.0,MEDICAL,B,2125,11.11,0,0.05,N,4,0.0531,37875,MID,LOW
21,20004,RENT,4.0,MEDICAL,A,4500,8.0,0,0.22,N,2,0.225,15504,EARLY,LOW
21,20400,RENT,2.0,PERSONAL,B,4500,10.99,0,0.22,N,2,0.2206,15900,EARLY,LOW
25,21000,RENT,0.0,DEBTCONSOLIDATION,B,4500,9.62,0,0.21,N,4,0.2143,16500,NEW,LOW
25,21000,RENT,2.0,EDUCATION,E,4500,16.45,1,0.21,Y,4,0.2143,16500,EARLY,HIGH
22,40000,MORTGAGE,7.0,PERSONAL,A,10850,7.66,0,0.27,N,4,0.2712,29150,MID,LOW
23,21600,RENT,1.0,EDUCATION,D,4500,15.65,1,0.21,N,2,0.2083,17100,NEW,MEDIUM
23,23421,RENT,3.0,MEDICAL,E,4500,17.99,1,0.19,Y,3,0.1921,18921,EARLY,HIGH
23,34000,MORTGAGE,0.0,EDUCATION,C,4000,14.17,1,0.12,N,2,0.1176,30000,NEW,MEDIUM
23,40000,MORTGAGE,6.0,PERSONAL,B,7200,11.11,0,0.18,N,2,0.18,32800,MID,LOW
21,23916,RENT,2.0,EDUCATION,B,4500,9.62,0,0.19,N,4,0.1882,19416,EARLY,LOW
26,24000,RENT,10.0,MEDICAL,B,4500,12.42,0,0.19,N,4,0.1875,19500,LONG,LOW
24,40000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,5000,11.11,0,0.13,N,2,0.125,35000,MID,LOW
26,24000,RENT,5.0,VENTURE,A,4500,5.79,0,0.19,N,3,0.1875,19500,MID,LOW
22,24000,RENT,0.0,EDUCATION,B,4500,11.49,0,0.19,N,2,0.1875,19500,NEW,MEDIUM
25,40000,MORTGAGE,1.0,HOMEIMPROVEMENT,A,4000,7.29,0,0.1,N,2,0.1,36000,NEW,MEDIUM
22,24500,RENT,3.0,DEBTCONSOLIDATION,A,4500,8.94,0,0.18,N,2,0.1837,20000,EARLY,LOW
23,25596,RENT,2.0,MEDICAL,B,4500,9.99,0,0.18,N,4,0.1758,21096,EARLY,LOW
23,26000,RENT,3.0,MEDICAL,A,4500,8.49,1,0.17,N,2,0.1731,21500,EARLY,LOW
25,30996,RENT,9.0,VENTURE,A,4500,6.92,0,0.15,N,3,0.1452,26496,MID,LOW
24,32000,RENT,4.0,MEDICAL,A,4500,7.29,0,0.14,N,4,0.1406,27500,EARLY,LOW
23,32400,RENT,4.0,EDUCATION,A,4500,7.49,0,0.14,N,4,0.1389,27900,EARLY,LOW
22,40000,MORTGAGE,1.0,EDUCATION,A,4800,5.42,0,0.12,N,2,0.12,35200,NEW,MEDIUM
22,33000,RENT,2.0,PERSONAL,A,4500,7.88,0,0.14,N,3,0.1364,28500,EARLY,LOW
23,33000,RENT,1.0,DEBTCONSOLIDATION,D,4500,15.05,1,0.14,N,4,0.1364,28500,NEW,MEDIUM
21,40000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,8000,6.92,0,0.2,N,4,0.2,32000,EARLY,LOW
22,35000,RENT,2.0,VENTURE,C,4500,14.27,0,0.13,Y,2,0.1286,30500,EARLY,MEDIUM
23,35000,RENT,5.0,PERSONAL,B,4500,10.59,0,0.13,N,2,0.1286,30500,MID,LOW
24,35000,RENT,1.0,MEDICAL,C,4500,12.87,0,0.13,Y,3,0.1286,30500,NEW,MEDIUM
22,40000,MORTGAGE,5.0,MEDICAL,B,8000,10.74,0,0.2,N,3,0.2,32000,MID,LOW
23,40000,MORTGAGE,7.0,VENTURE,B,14000,10.99,0,0.35,N,3,0.35,26000,MID,LOW
21,36000,RENT,0.0,EDUCATION,A,4500,6.62,0,0.13,N,2,0.125,31500,NEW,MEDIUM
26,40000,MORTGAGE,5.0,MEDICAL,A,16000,10.99,0,0.4,N,3,0.4,24000,MID,MEDIUM
26,34000,MORTGAGE,4.0,PERSONAL,A,12250,6.91,1,0.36,N,4,0.3603,21750,EARLY,MEDIUM
22,36000,RENT,5.0,EDUCATION,A,4500,6.17,0,0.13,N,3,0.125,31500,MID,LOW
24,36000,RENT,5.0,VENTURE,A,4500,7.14,0,0.13,N,4,0.125,31500,MID,LOW
22,40000,OWN,5.0,MEDICAL,B,6000,9.25,0,0.15,N,3,0.15,34000,MID,LOW
22,37342,RENT,3.0,VENTURE,C,4500,11.03,0,0.12,Y,2,0.1205,32842,EARLY,MEDIUM
23,40000,MORTGAGE,2.0,MEDICAL,B,7000,8.88,0,0.17,N,3,0.175,33000,EARLY,LOW
24,37500,RENT,0.0,PERSONAL,A,4500,5.42,0,0.12,N,4,0.12,33000,NEW,LOW
24,40000,OWN,0.0,PERSONAL,A,6900,6.91,0,0.17,N,3,0.1725,33100,NEW,LOW
22,32000,RENT,5.0,MEDICAL,A,4500,9.63,1,0.14,N,2,0.1406,27500,MID,LOW
24,38000,RENT,8.0,MEDICAL,B,4500,10.83,0,0.12,N,2,0.1184,33500,MID,LOW
23,38004,RENT,2.0,EDUCATION,A,4500,7.88,0,0.12,N,2,0.1184,33504,EARLY,LOW
24,34000,MORTGAGE,1.0,DEBTCONSOLIDATION,D,7000,14.09,1,0.21,N,2,0.2059,27000,NEW,MEDIUM
24,39000,RENT,2.0,VENTURE,B,4500,10.99,0,0.12,N,4,0.1154,34500,EARLY,LOW
22,39996,RENT,2.0,EDUCATION,C,4500,13.43,0,0.11,N,4,0.1125,35496,EARLY,LOW
22,40000,RENT,6.0,EDUCATION,A,4500,7.66,0,0.11,N,3,0.1125,35500,MID,LOW
26,40000,RENT,0.0,MEDICAL,A,4500,7.74,0,0.11,N,2,0.1125,35500,NEW,MEDIUM
25,40000,OWN,3.0,EDUCATION,D,12000,14.83,0,0.3,N,4,0.3,28000,EARLY,LOW
24,40000,RENT,8.0,MEDICAL,C,4500,12.84,0,0.11,N,3,0.1125,35500,MID,LOW
22,40000,MORTGAGE,6.0,VENTURE,B,4000,10.36,0,0.1,N,4,0.1,36000,MID,LOW
24,34068,RENT,2.0,EDUCATION,D,4500,14.84,1,0.13,N,3,0.1321,29568,EARLY,LOW
23,41000,RENT,6.0,PERSONAL,C,4500,12.99,0,0.11,N,4,0.1098,36500,MID,LOW
25,40000,MORTGAGE,6.0,MEDICAL,C,5000,12.61,0,0.13,Y,4,0.125,35000,MID,MEDIUM
21,36000,RENT,1.0,VENTURE,D,4500,17.27,1,0.13,N,2,0.125,31500,NEW,MEDIUM
24,40000,MORTGAGE,4.0,MEDICAL,B,3500,8.88,0,0.09,N,2,0.0875,36500,EARLY,LOW
26,40000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,5300,5.42,0,0.13,N,2,0.1325,34700,LONG,LOW
21,42000,RENT,4.0,DEBTCONSOLIDATION,A,4500,6.03,0,0.11,N,4,0.1071,37500,EARLY,LOW
22,42000,RENT,2.0,DEBTCONSOLIDATION,B,4500,11.49,0,0.11,N,4,0.1071,37500,EARLY,LOW
21,40000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,6000,5.79,0,0.15,N,3,0.15,34000,EARLY,LOW
26,42000,RENT,3.0,PERSONAL,A,4500,7.66,0,0.11,N,2,0.1071,37500,EARLY,LOW
25,43500,RENT,0.0,MEDICAL,A,4500,6.76,0,0.1,N,2,0.1034,39000,NEW,MEDIUM
25,43738,RENT,0.0,DEBTCONSOLIDATION,A,4500,5.99,0,0.1,N,3,0.1029,39238,NEW,LOW
26,44004,RENT,2.0,MEDICAL,A,4500,7.74,0,0.1,N,3,0.1023,39504,EARLY,LOW
23,45000,RENT,0.0,VENTURE,B,4500,9.25,0,0.1,N,4,0.1,40500,NEW,LOW
21,41000,RENT,2.0,DEBTCONSOLIDATION,C,4500,13.49,1,0.11,N,3,0.1098,36500,EARLY,LOW
22,40000,MORTGAGE,6.0,PERSONAL,A,4800,10.99,0,0.12,N,2,0.12,35200,MID,LOW
26,48000,RENT,10.0,DEBTCONSOLIDATION,B,4500,11.11,0,0.09,N,4,0.0938,43500,LONG,LOW
23,48500,RENT,0.0,DEBTCONSOLIDATION,B,4500,12.21,0,0.09,N,4,0.0928,44000,NEW,LOW
22,44000,RENT,4.0,PERSONAL,D,4500,14.46,1,0.1,Y,2,0.1023,39500,EARLY,MEDIUM
22,44000,RENT,3.0,PERSONAL,A,4500,5.79,1,0.1,N,3,0.1023,39500,EARLY,LOW
21,40000,MORTGAGE,3.0,MEDICAL,A,2500,6.76,0,0.06,N,4,0.0625,37500,EARLY,LOW
24,40000,OWN,6.0,VENTURE,A,1000,6.76,0,0.03,N,3,0.025,39000,MID,LOW
23,52800,RENT,3.0,EDUCATION,A,4500,6.76,0,0.09,N,4,0.0852,48300,EARLY,LOW
24,54100,RENT,5.0,PERSONAL,A,4500,7.14,0,0.08,N,4,0.0832,49600,MID,LOW
26,40000,OWN,0.0,HOMEIMPROVEMENT,B,10000,11.86,0,0.25,N,4,0.25,30000,NEW,LOW
22,48300,RENT,0.0,HOMEIMPROVEMENT,B,4500,9.76,1,0.09,N,2,0.0932,43800,NEW,MEDIUM
22,34000,MORTGAGE,4.0,PERSONAL,D,7750,15.21,1,0.23,N,2,0.2279,26250,EARLY,MEDIUM
26,54396,RENT,10.0,MEDICAL,C,4500,10.99,0,0.08,N,3,0.0827,49896,LONG,LOW
23,40000,MORTGAGE,1.0,PERSONAL,A,4000,7.14,0,0.1,N,3,0.1,36000,NEW,LOW
24,40000,OWN,4.0,PERSONAL,C,2000,14.35,0,0.05,N,2,0.05,38000,EARLY,LOW
24,55000,RENT,2.0,DEBTCONSOLIDATION,A,4500,7.9,0,0.08,N,2,0.0818,50500,EARLY,LOW
23,55000,RENT,4.0,VENTURE,A,4500,8.49,0,0.08,N,3,0.0818,50500,EARLY,LOW
22,55000,RENT,4.0,DEBTCONSOLIDATION,A,4500,6.76,0,0.08,N,4,0.0818,50500,EARLY,LOW
24,40000,MORTGAGE,2.0,VENTURE,C,15250,13.98,0,0.38,Y,2,0.3812,24750,EARLY,HIGH
24,40000,MORTGAGE,5.0,VENTURE,A,8000,10.99,0,0.2,N,4,0.2,32000,MID,LOW
26,58947,RENT,10.0,MEDICAL,A,4500,6.03,0,0.08,N,2,0.0763,54447,LONG,LOW
23,59000,RENT,3.0,MEDICAL,C,4500,12.68,0,0.08,Y,3,0.0763,54500,EARLY,MEDIUM
25,40000,OWN,0.0,EDUCATION,B,8000,10.38,0,0.2,N,4,0.2,32000,NEW,LOW
23,54000,RENT,5.0,HOMEIMPROVEMENT,A,4500,8.49,1,0.08,N,2,0.0833,49500,MID,LOW
23,54000,RENT,7.0,EDUCATION,B,4500,10.99,1,0.08,N,2,0.0833,49500,MID,LOW
23,62000,RENT,7.0,VENTURE,B,4500,12.42,0,0.07,N,2,0.0726,57500,MID,LOW
22,40000,MORTGAGE,2.0,PERSONAL,A,8100,7.14,0,0.2,N,3,0.2025,31900,EARLY,LOW
25,60000,RENT,9.0,HOMEIMPROVEMENT,B,4500,10.99,1,0.07,N,2,0.075,55500,MID,LOW
23,40000,MORTGAGE,4.0,EDUCATION,A,4000,6.39,0,0.1,N,3,0.1,36000,EARLY,LOW
24,74000,RENT,0.0,PERSONAL,B,4500,12.18,0,0.06,N,4,0.0608,69500,NEW,LOW
25,78996,RENT,9.0,EDUCATION,A,4500,8.63,0,0.06,N,2,0.057,74496,MID,LOW
25,80000,RENT,8.0,VENTURE,C,4500,13.06,0,0.06,N,2,0.0562,75500,MID,LOW
25,82560,RENT,6.0,DEBTCONSOLIDATION,A,4500,7.42,0,0.05,N,3,0.0545,78060,MID,LOW
25,84000,RENT,0.0,HOMEIMPROVEMENT,B,4500,12.18,0,0.05,N,2,0.0536,79500,NEW,MEDIUM
24,86854,RENT,8.0,VENTURE,A,4500,10.99,0,0.05,N,4,0.0518,82354,MID,LOW
24,40000,MORTGAGE,3.0,VENTURE,B,10500,11.36,0,0.26,N,4,0.2625,29500,EARLY,LOW
24,40000,MORTGAGE,8.0,PERSONAL,B,10000,9.88,0,0.25,N,2,0.25,30000,MID,LOW
21,40000,OWN,6.0,VENTURE,B,5600,10.25,0,0.14,N,3,0.14,34400,MID,LOW
25,138000,RENT,1.0,EDUCATION,C,4500,13.43,0,0.03,N,3,0.0326,133500,NEW,LOW
23,20664,RENT,4.0,EDUCATION,C,4550,13.72,0,0.22,Y,3,0.2202,16114,EARLY,MEDIUM
21,34000,MORTGAGE,5.0,EDUCATION,B,10000,10.62,1,0.29,N,2,0.2941,24000,MID,LOW
22,29976,RENT,6.0,DEBTCONSOLIDATION,C,4550,12.84,0,0.15,N,3,0.1518,25426,MID,LOW
23,42000,RENT,2.0,EDUCATION,C,4550,15.23,0,0.11,N,4,0.1083,37450,EARLY,LOW
26,130000,RENT,0.0,HOMEIMPROVEMENT,C,4550,13.57,0,0.04,Y,2,0.035,125450,NEW,HIGH
21,24000,RENT,0.0,EDUCATION,C,4600,13.99,0,0.19,Y,2,0.1917,19400,NEW,HIGH
23,27864,RENT,0.0,MEDICAL,A,4600,6.03,0,0.17,N,3,0.1651,23264,NEW,LOW
26,40000,MORTGAGE,5.0,MEDICAL,B,6000,10.62,0,0.15,N,4,0.15,34000,MID,LOW
21,28416,RENT,6.0,PERSONAL,A,4600,10.99,0,0.16,N,2,0.1619,23816,MID,LOW
24,30000,RENT,0.0,MEDICAL,C,4600,10.99,0,0.15,Y,2,0.1533,25400,NEW,HIGH
22,40000,MORTGAGE,6.0,VENTURE,A,4750,10.99,0,0.12,N,2,0.1188,35250,MID,LOW
23,33000,RENT,0.0,EDUCATION,B,4600,11.71,0,0.14,N,3,0.1394,28400,NEW,LOW
23,40000,RENT,1.0,VENTURE,B,4600,10.59,0,0.12,N,3,0.115,35400,NEW,LOW
25,40000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,10000,7.14,0,0.25,N,4,0.25,30000,MID,LOW
23,46500,RENT,3.0,EDUCATION,D,4600,10.99,0,0.1,Y,4,0.0989,41900,EARLY,MEDIUM
21,40000,MORTGAGE,5.0,MEDICAL,A,9000,7.51,0,0.23,N,4,0.225,31000,MID,LOW
25,40000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,4750,10.99,0,0.12,N,3,0.1188,35250,EARLY,LOW
26,44000,RENT,5.0,DEBTCONSOLIDATION,C,4600,13.99,1,0.1,N,4,0.1045,39400,MID,LOW
21,51996,RENT,5.0,PERSONAL,A,4600,8.59,0,0.09,N,2,0.0885,47396,MID,LOW
21,40000,MORTGAGE,5.0,EDUCATION,C,8000,10.99,0,0.2,N,3,0.2,32000,MID,LOW
23,52000,RENT,5.0,PERSONAL,D,4600,14.96,1,0.09,N,2,0.0885,47400,MID,LOW
26,52800,RENT,3.0,DEBTCONSOLIDATION,D,4600,15.62,1,0.09,Y,4,0.0871,48200,EARLY,MEDIUM
24,40000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,4000,7.14,0,0.1,N,4,0.1,36000,MID,LOW
23,40000,MORTGAGE,3.0,EDUCATION,B,12000,9.88,0,0.3,N,2,0.3,28000,EARLY,LOW
25,34000,MORTGAGE,2.0,HOMEIMPROVEMENT,C,5800,13.48,1,0.17,Y,3,0.1706,28200,EARLY,MEDIUM
22,40000,MORTGAGE,0.0,EDUCATION,C,4000,12.73,0,0.1,Y,2,0.1,36000,NEW,HIGH
24,73000,RENT,2.0,MEDICAL,B,4600,9.99,0,0.06,N,2,0.063,68400,EARLY,LOW
24,100000,RENT,1.0,EDUCATION,A,4600,8.49,0,0.05,N,2,0.046,95400,NEW,MEDIUM
22,40000,OWN,0.0,VENTURE,C,6400,14.22,0,0.16,Y,2,0.16,33600,NEW,HIGH
24,22392,RENT,4.0,MEDICAL,B,4650,9.99,0,0.21,N,4,0.2077,17742,EARLY,LOW
24,40000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,15000,9.88,0,0.38,N,2,0.375,25000,MID,MEDIUM
24,40000,MORTGAGE,2.0,VENTURE,B,10000,11.83,0,0.25,N,3,0.25,30000,EARLY,LOW
21,31970,RENT,2.0,VENTURE,A,4650,9.32,0,0.15,N,2,0.1454,27320,EARLY,LOW
22,48000,RENT,2.0,MEDICAL,B,4650,10.99,0,0.1,N,4,0.0969,43350,EARLY,LOW
24,31776,RENT,6.0,VENTURE,A,4700,8.94,0,0.15,N,3,0.1479,27076,MID,LOW
25,40000,RENT,0.0,MEDICAL,C,4700,12.09,0,0.12,Y,3,0.1175,35300,NEW,MEDIUM
24,40000,OWN,1.0,HOMEIMPROVEMENT,A,9000,8.94,0,0.23,N,3,0.225,31000,NEW,LOW
23,41000,RENT,7.0,PERSONAL,A,4700,7.9,0,0.11,N,2,0.1146,36300,MID,LOW
26,40000,MORTGAGE,3.0,VENTURE,B,1750,11.83,0,0.04,N,4,0.0438,38250,EARLY,LOW
24,45000,RENT,2.0,DEBTCONSOLIDATION,B,4700,10.96,0,0.1,N,2,0.1044,40300,EARLY,LOW
26,19800,RENT,0.0,MEDICAL,C,4725,11.22,1,0.24,N,3,0.2386,15075,NEW,LOW
26,27600,RENT,0.0,MEDICAL,A,4725,6.54,0,0.17,N,2,0.1712,22875,NEW,MEDIUM
24,40000,OWN,8.0,HOMEIMPROVEMENT,C,7500,13.22,0,0.19,N,3,0.1875,32500,MID,LOW
24,12000,RENT,0.0,EDUCATION,B,4750,10.75,1,0.4,N,4,0.3958,7250,NEW,MEDIUM
21,13806,RENT,6.0,PERSONAL,C,4750,12.73,1,0.34,Y,3,0.3441,9056,MID,MEDIUM
22,14000,RENT,2.0,PERSONAL,D,4750,14.61,1,0.34,N,4,0.3393,9250,EARLY,LOW
26,14040,RENT,1.0,DEBTCONSOLIDATION,B,4750,10.25,1,0.34,N,2,0.3383,9290,NEW,MEDIUM
23,14400,RENT,1.0,EDUCATION,B,4750,11.11,1,0.33,N,2,0.3299,9650,NEW,MEDIUM
21,40000,MORTGAGE,5.0,EDUCATION,B,9000,11.14,0,0.23,N,3,0.225,31000,MID,LOW
26,15000,RENT,0.0,PERSONAL,A,4750,8.49,1,0.32,N,3,0.3167,10250,NEW,LOW
25,15600,RENT,1.0,PERSONAL,C,4750,13.85,1,0.3,N,4,0.3045,10850,NEW,LOW
22,16000,RENT,0.0,EDUCATION,C,4750,13.16,1,0.3,N,3,0.2969,11250,NEW,LOW
